size:,oldSketch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,30,40,50,60,70,80
zeros[ms]:,125,656,360,341,375,344,393,406,578,502,406,422,418,456,456,471,468,582,564,581,570,836,1050,1306,1566,1569,1657
sequ[ms]:,201,3671,2022,1995,1774,1613,1798,2059,2270,2532,1581,1660,1788,1920,2186,2281,2411,2595,2658,3085,2892,4253,5156,6969,7536,8344,9161
oldSketch,zeros[ms]:,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
oldSketch,sequ[ms]:,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,size:,zeros[ms]:,sequ[ms]:,,,,,,,,,,,,,,,,,,,,,,,,
,oldSketch,125,,,,,,,,,,,,,,,,,,,,,,,,,
,1,656,,125,0,,,,,,,,,,,,,,,,,,,,,,
,2,360,,125,0,,,,,,,,,,,,,,,,,,,,,,
,3,341,,125,0,,,,,,,,,,,,,,,,,,,,,,
,4,375,,125,0,,,,,,,,,,,,,,,,,,,,,,
,5,344,,125,0,,,,,,,,,,,,,,,,,,,,,,
,6,393,,125,0,,,,,,,,,,,,,,,,,,,,,,
,7,406,,125,0,,,,,,,,,,,,,,,,,,,,,,
,8,578,,125,0,,,,,,,,,,,,,,,,,,,,,,
,9,502,,125,0,,,,,,,,,,,,,,,,,,,,,,
,10,406,,125,0,,,,,,,,,,,,,,,,,,,,,,
,11,422,1660,125,0,,,,,,,,,,,,,,,,,,,,,,
,12,418,1788,125,0,,,,,,,,,,,,,,,,,,,,,,
,13,456,1920,125,0,,,,,,,,,,,,,,,,,,,,,,
,14,456,2186,125,0,,,,,,,,,,,,,,,,,,,,,,
,15,471,2281,125,0,,,,,,,,,,,,,,,,,,,,,,
,16,468,2411,125,0,,,,,,,,,,,,,,,,,,,,,,
,17,582,2595,125,0,,,,,,,,,,,,,,,,,,,,,,
,18,564,2658,125,0,,,,,,,,,,,,,,,,,,,,,,
,19,581,3085,125,0,,,,,,,,,,,,,,,,,,,,,,
,20,570,2892,125,0,,,,,,,,,,,,,,,,,,,,,,
,30,836,4253,125,0,,,,,,,,,,,,,,,,,,,,,,
,40,1050,5156,125,0,,,,,,,,,,,,,,,,,,,,,,
,50,1306,6969,125,0,,,,,,,,,,,,,,,,,,,,,,
,60,1566,7536,125,0,,,,,,,,,,,,,,,,,,,,,,
,70,1569,8344,125,0,,,,,,,,,,,,,,,,,,,,,,
,80,1657,9161,125,0,,,,,,,,,,,,,,,,,,,,,,
